STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,MD,3,11
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,MD,22,23
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,MD,7,12
King Memorial,RAIL,33.75000421,-84.37543042,MD,340,366
Airport,RAIL,33.64068199,-84.44620592,MD,1011,938
North Avenue,RAIL,33.77256732,-84.38699937,MD,1685,1726
Doraville,RAIL,33.90298663,-84.28025261,MD,1108,1078
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,MD,8078,8037
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,MD,6348,6688
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,MD,17,17
Park Place Streetcar,RAIL,33.75506728,-84.38820242,MD,10,7
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,MD,3,1
King Historical District,RAIL,33.75548968,-84.37435941,PM,1,3.99
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,PM,0,12
Sandy Springs,RAIL,33.93218729,-84.35208977,PM,1488,1243
North Springs,RAIL,33.94511896,-84.35726606,PM,1640,5129
Georgia State,RAIL,33.75008031,-84.38582967,PM,4879,1010
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,PM,744,1301
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,PM,409,847
East Lake,RAIL,33.76519723,-84.31276946,PM,295,1054
Decatur,RAIL,33.77468883,-84.29574279,PM,2003,1165
Avondale,RAIL,33.77514262,-84.28227057,PM,1223,1958
Kensington,RAIL,33.77265675,-84.25189439,PM,1369,4674
Indian Creek,RAIL,33.76982934,-84.22965543,PM,626,4957
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,PM,1685,467
Vine City,RAIL,33.75655043,-84.40401403,PM,695,533
Ashby,RAIL,33.75644578,-84.41724351,PM,737,909
West Lake,RAIL,33.75329302,-84.44534298,PM,328,655
