FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,Cartersville,240,45,0,62,103,0,302,148,0,285,165,450
NFulton,NECarroll,9,4,0,4,17,0,13,21,0,13,21,34
NFulton,WCarroll,0,1,0,0,0,0,0,1,0,1,0,1
NFulton,CentralCarroll,5,1,0,2,10,0,7,11,0,6,12,18
NFulton,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,WCoweta,1,0,0,0,2,0,1,2,0,1,2,3
NFulton,NCoweta,13,7,0,3,21,0,16,28,0,20,24,44
NFulton,SCoweta,1,0,0,1,1,0,2,1,0,1,2,3
NFulton,SECoweta,3,0,0,0,2,0,3,2,0,3,2,5
NFulton,NForsyth,1782,336,1,422,1225,0,2204,1561,1,2119,1647,3766
NFulton,Cumming,7738,1435,16,3625,10931,22,11363,12366,38,9189,14578,23767
NFulton,SForsyth,12013,2286,36,13080,30209,60,25093,32495,96,14335,43349,57684
NFulton,NHall,233,40,0,46,90,0,279,130,0,273,136,409
NFulton,Gainesville,634,109,0,80,153,0,714,262,0,743,233,976
NFulton,SHall,769,130,0,153,353,0,922,483,0,899,506,1405
NFulton,WNewton,74,8,0,16,36,0,90,44,0,82,52,134
NFulton,ENewton,9,2,0,3,4,0,12,6,0,11,7,18
NFulton,NPaulding,91,22,0,24,63,0,115,85,0,113,87,200
NFulton,WPaulding,20,1,0,11,22,0,31,23,0,21,33,54
NFulton,EPaulding,213,30,0,41,74,0,254,104,0,243,115,358
NFulton,NSpalding,6,1,0,3,3,0,9,4,0,7,6,13
NFulton,SSpalding,5,1,0,0,2,0,5,3,0,6,2,8
NFulton,WWalton,198,36,0,33,67,0,231,103,0,234,100,334
NFulton,EWalton,95,20,0,18,48,0,113,68,0,115,66,181
Roswell,NFulton,16945,3183,131,19606,44637,234,36551,47820,365,20259,64477,84736
Roswell,Roswell,25817,4746,180,50660,104935,277,76477,109681,457,30743,155872,186615
Roswell,SandySprings,7151,1216,189,5845,12540,197,12996,13756,386,8556,18582,27138
Roswell,Buckhead,2138,323,237,445,1216,100,2583,1539,337,2698,1761,4459
Roswell,NWAtlanta,384,68,28,46,134,10,430,202,38,480,190,670
Roswell,NEAtlanta,1118,238,236,229,703,106,1347,941,342,1592,1038,2630
Roswell,SWAtlanta,208,45,28,49,92,16,257,137,44,281,157,438
Roswell,CBDAtlanta,727,146,609,106,386,101,833,532,710,1482,593,2075
Roswell,SEAtlanta,183,42,18,42,63,12,225,105,30,243,117,360
Roswell,SFulton,66,14,0,9,31,0,75,45,0,80,40,120
Roswell,Tri-Cities,175,54,13,17,35,1,192,89,14,242,53,295
Roswell,Shannon,73,10,3,3,22,1,76,32,4,86,26,112
Roswell,WCherokee,153,21,0,51,161,0,204,182,0,174,212,386
Roswell,NCherokee,92,8,0,29,59,0,121,67,0,100,88,188
Roswell,ECentCherokee,1746,325,2,830,2630,2,2576,2955,4,2073,3462,5535
Roswell,Woodstock,2119,413,4,1272,3488,4,3391,3901,8,2536,4764,7300
Roswell,Airport,71,14,20,5,7,3,76,21,23,105,15,120
Roswell,NEClayton,106,30,1,25,41,0,131,71,1,137,66,203
Roswell,Riverdale,44,17,2,13,21,0,57,38,2,63,34,97
Roswell,SClayton,62,14,0,8,14,0,70,28,0,76,22,98
Roswell,NWCobb,1308,239,0,417,1041,7,1725,1280,7,1547,1465,3012
Roswell,NECobb,5740,1069,11,5949,16999,8,11689,18068,19,6820,22956,29776
Roswell,SWCobb,222,38,1,43,177,0,265,215,1,261,220,481
Roswell,Marietta,826,155,2,350,887,16,1176,1042,18,983,1253,2236
Roswell,Cumberland,1548,340,12,500,1128,6,2048,1468,18,1900,1634,3534
Roswell,SCobb,325,62,2,92,248,1,417,310,3,389,341,730
Roswell,Chamblee,3820,688,80,2183,5875,82,6003,6563,162,4588,8140,12728
Roswell,NWDeKalb,897,125,25,217,609,21,1114,734,46,1047,847,1894
Roswell,NEDeKalb,1044,168,10,431,1000,18,1475,1168,28,1222,1449,2671
Roswell,Atlanta-DeKalb,71,12,10,16,15,2,87,27,12,93,33,126
Roswell,Decatur,123,22,18,18,57,9,141,79,27,163,84,247
Roswell,SWDeKalb,174,37,6,37,60,2,211,97,8,217,99,316
Roswell,SEDeKalb,196,38,4,41,150,0,237,188,4,238,191,429
Roswell,SDeKalb,141,34,2,32,99,3,173,133,5,177,134,311
Roswell,WDouglas,42,10,1,16,18,1,58,28,2,53,35,88
Roswell,EDouglas,96,18,0,23,108,1,119,126,1,114,132,246
Roswell,WFayette,15,4,0,6,19,0,21,23,0,19,25,44
Roswell,EFayette,19,1,0,6,6,0,25,7,0,20,12,32
Roswell,NGwinnett,913,190,1,258,718,1,1171,908,2,1104,977,2081
Roswell,CentGwinnett,2285,436,0,1123,3029,3,3408,3465,3,2721,4155,6876
Roswell,EGwinnett,233,27,0,43,80,0,276,107,0,260,123,383
Roswell,Norcross,4701,905,11,3725,9286,6,8426,10191,17,5617,13017,18634
Roswell,Lilburn,441,80,1,150,605,0,591,685,1,522,755,1277
Roswell,Snellville,278,61,0,57,161,1,335,222,1,339,219,558
Roswell,NHenry,55,8,0,11,6,0,66,14,0,63,17,80
Roswell,EHenry,16,3,0,6,33,0,22,36,0,19,39,58
Roswell,SHenry,22,3,0,14,11,0,36,14,0,25,25,50
Roswell,SRockdale,31,6,0,7,7,0,38,13,0,37,14,51
Roswell,NRockdale,41,8,0,16,29,0,57,37,0,49,45,94
Roswell,NBarrow,68,20,0,11,36,0,79,56,0,88,47,135
Roswell,SBarrow,48,7,0,16,29,0,64,36,0,55,45,100
Roswell,NWBartow,24,7,0,9,5,0,33,12,0,31,14,45
Roswell,NEBartow,37,2,0,13,47,0,50,49,0,39,60,99
Roswell,SWBartow,34,14,0,15,20,0,49,34,0,48,35,83
Roswell,Cartersville,145,20,0,48,59,0,193,79,0,165,107,272
Roswell,NECarroll,11,2,0,4,1,0,15,3,0,13,5,18
Roswell,WCarroll,1,0,0,0,0,0,1,0,0,1,0,1
Roswell,CentralCarroll,8,0,0,3,3,0,11,3,0,8,6,14
Roswell,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
Roswell,WCoweta,1,0,0,1,0,0,2,0,0,1,1,2
Roswell,NCoweta,10,1,0,5,8,0,15,9,0,11,13,24
Roswell,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
Roswell,SECoweta,2,0,0,0,0,0,2,0,0,2,0,2
Roswell,NForsyth,437,63,0,85,252,0,522,315,0,500,337,837
Roswell,Cumming,1518,346,0,480,1761,0,1998,2107,0,1864,2241,4105
Roswell,SForsyth,1777,315,1,982,3075,7,2759,3390,8,2093,4064,6157
Roswell,NHall,54,6,0,19,67,0,73,73,0,60,86,146
Roswell,Gainesville,165,26,0,31,48,0,196,74,0,191,79,270
Roswell,SHall,158,26,0,26,40,0,184,66,0,184,66,250
Roswell,WNewton,44,9,0,5,22,0,49,31,0,53,27,80
Roswell,ENewton,1,0,0,1,0,0,2,0,0,1,1,2
Roswell,NPaulding,81,14,0,25,46,0,106,60,0,95,71,166
Roswell,WPaulding,22,4,0,6,10,0,28,14,0,26,16,42
Roswell,EPaulding,168,31,1,38,147,0,206,178,1,200,185,385
Roswell,NSpalding,3,1,0,1,1,0,4,2,0,4,2,6
Roswell,SSpalding,0,1,0,0,3,0,0,4,0,1,3,4
Roswell,WWalton,56,9,0,12,51,0,68,60,0,65,63,128
Roswell,EWalton,34,7,0,12,9,0,46,16,0,41,21,62
SandySprings,NFulton,7148,1177,290,2569,5905,198,9717,7082,488,8615,8672,17287
SandySprings,Roswell,7431,1272,197,5760,12916,216,13191,14188,413,8900,18892,27792
SandySprings,SandySprings,42301,6842,1247,71052,82622,1714,113353,89464,2961,50390,155388,205778
SandySprings,Buckhead,10224,1531,974,7135,10899,565,17359,12430,1539,12729,18599,31328
SandySprings,NWAtlanta,1569,282,271,475,596,45,2044,878,316,2122,1116,3238
SandySprings,NEAtlanta,4523,750,1240,1299,2082,427,5822,2832,1667,6513,3808,10321
SandySprings,SWAtlanta,1244,270,443,220,289,126,1464,559,569,1957,635,2592
SandySprings,CBDAtlanta,2413,493,1878,475,801,380,2888,1294,2258,4784,1656,6440
SandySprings,SEAtlanta,1000,256,342,161,270,56,1161,526,398,1598,487,2085
SandySprings,SFulton,412,67,26,72,96,12,484,163,38,505,180,685
SandySprings,Tri-Cities,765,205,260,77,170,33,842,375,293,1230,280,1510
SandySprings,Shannon,459,111,93,67,79,26,526,190,119,663,172,835
SandySprings,WCherokee,125,17,0,37,93,0,162,110,0,142,130,272
SandySprings,NCherokee,47,9,0,21,25,0,68,34,0,56,46,102
SandySprings,ECentCherokee,1005,179,5,231,694,3,1236,873,8,1189,928,2117
SandySprings,Woodstock,1447,244,14,338,756,12,1785,1000,26,1705,1106,2811
SandySprings,Airport,259,63,131,17,21,3,276,84,134,453,41,494
SandySprings,NEClayton,515,152,82,49,106,16,564,258,98,749,171,920
SandySprings,Riverdale,363,105,88,47,75,4,410,180,92,556,126,682
SandySprings,SClayton,305,87,27,40,66,3,345,153,30,419,109,528
SandySprings,NWCobb,2158,348,13,422,772,10,2580,1120,23,2519,1204,3723
SandySprings,NECobb,7481,1308,76,5352,12039,101,12833,13347,177,8865,17492,26357
SandySprings,SWCobb,761,138,9,157,418,8,918,556,17,908,583,1491
SandySprings,Marietta,1629,276,15,705,1283,25,2334,1559,40,1920,2013,3933
SandySprings,Cumberland,7537,1250,83,5462,7942,86,12999,9192,169,8870,13490,22360
SandySprings,SCobb,1782,339,66,572,1045,16,2354,1384,82,2187,1633,3820
SandySprings,Chamblee,17892,3084,631,24049,33038,665,41941,36122,1296,21607,57752,79359
SandySprings,NWDeKalb,2957,501,221,1018,1781,93,3975,2282,314,3679,2892,6571
SandySprings,NEDeKalb,3779,670,167,1396,2591,100,5175,3261,267,4616,4087,8703
SandySprings,Atlanta-DeKalb,489,84,136,97,189,29,586,273,165,709,315,1024
SandySprings,Decatur,493,81,120,86,109,24,579,190,144,694,219,913
SandySprings,SWDeKalb,1049,230,202,166,242,76,1215,472,278,1481,484,1965
SandySprings,SEDeKalb,1206,237,154,161,274,40,1367,511,194,1597,475,2072
SandySprings,SDeKalb,841,172,90,121,220,13,962,392,103,1103,354,1457
SandySprings,WDouglas,284,47,11,53,72,1,337,119,12,342,126,468
SandySprings,EDouglas,539,103,33,81,163,4,620,266,37,675,248,923
SandySprings,WFayette,89,21,8,18,22,1,107,43,9,118,41,159
SandySprings,EFayette,171,22,14,25,28,3,196,50,17,207,56,263
SandySprings,NGwinnett,1355,245,13,248,481,12,1603,726,25,1613,741,2354
SandySprings,CentGwinnett,2806,497,69,626,1327,54,3432,1824,123,3372,2007,5379
SandySprings,EGwinnett,580,89,3,105,142,5,685,231,8,672,252,924
SandySprings,Norcross,5179,931,101,3397,6743,92,8576,7674,193,6211,10232,16443
SandySprings,Lilburn,969,184,18,285,494,22,1254,678,40,1171,801,1972
SandySprings,Snellville,703,121,10,141,294,13,844,415,23,834,448,1282
SandySprings,NHenry,243,45,17,41,84,3,284,129,20,305,128,433
SandySprings,EHenry,135,36,1,23,52,0,158,88,1,172,75,247
SandySprings,SHenry,194,42,4,31,72,1,225,114,5,240,104,344
SandySprings,SRockdale,168,33,9,21,52,0,189,85,9,210,73,283
SandySprings,NRockdale,209,31,12,40,59,2,249,90,14,252,101,353
SandySprings,NBarrow,104,11,0,22,73,0,126,84,0,115,95,210
SandySprings,SBarrow,94,10,0,26,59,1,120,69,1,104,86,190
SandySprings,NWBartow,47,7,0,3,24,0,50,31,0,54,27,81
SandySprings,NEBartow,34,11,0,14,75,0,48,86,0,45,89,134
SandySprings,SWBartow,57,13,0,29,105,0,86,118,0,70,134,204
SandySprings,Cartersville,227,38,2,40,160,0,267,198,2,267,200,467
SandySprings,NECarroll,51,12,1,18,41,0,69,53,1,64,59,123
SandySprings,WCarroll,3,0,0,1,4,0,4,4,0,3,5,8
SandySprings,CentralCarroll,33,5,0,8,28,0,41,33,0,38,36,74
SandySprings,SECarroll,3,2,0,4,1,0,7,3,0,5,5,10
SandySprings,WCoweta,18,4,0,2,4,0,20,8,0,22,6,28
SandySprings,NCoweta,130,23,6,28,42,12,158,65,18,159,82,241
SandySprings,SCoweta,5,1,0,0,7,0,5,8,0,6,7,13
SandySprings,SECoweta,17,1,0,5,8,0,22,9,0,18,13,31
SandySprings,NForsyth,344,57,2,93,181,0,437,238,2,403,274,677
SandySprings,Cumming,1276,239,10,290,601,16,1566,840,26,1525,907,2432
SandySprings,SForsyth,1009,184,20,272,732,27,1281,916,47,1213,1031,2244
SandySprings,NHall,29,1,0,14,22,0,43,23,0,30,36,66
SandySprings,Gainesville,107,20,0,21,44,0,128,64,0,127,65,192
SandySprings,SHall,229,42,0,31,92,0,260,134,0,271,123,394
SandySprings,WNewton,195,38,8,41,102,1,236,140,9,241,144,385
SandySprings,ENewton,17,1,0,5,14,0,22,15,0,18,19,37
SandySprings,NPaulding,175,34,3,25,59,0,200,93,3,212,84,296
SandySprings,WPaulding,71,6,0,14,15,0,85,21,0,77,29,106
SandySprings,EPaulding,580,107,9,93,180,1,673,287,10,696,274,970
SandySprings,NSpalding,28,10,0,8,27,0,36,37,0,38,35,73
SandySprings,SSpalding,10,6,0,3,18,0,13,24,0,16,21,37
SandySprings,WWalton,129,28,2,23,39,0,152,67,2,159,62,221
SandySprings,EWalton,50,8,0,13,13,0,63,21,0,58,26,84
Buckhead,NFulton,2420,387,289,348,974,64,2768,1361,353,3096,1386,4482
Buckhead,Roswell,2018,310,248,417,1211,84,2435,1521,332,2576,1712,4288
Buckhead,SandySprings,10144,1571,949,7146,11356,547,17290,12927,1496,12664,19049,31713
Buckhead,Buckhead,36460,4965,1870,63546,56762,2064,100006,61727,3934,43295,122372,165667
Buckhead,NWAtlanta,4261,777,430,5329,6742,312,9590,7519,742,5468,12383,17851
Buckhead,NEAtlanta,12214,1679,1277,14555,13675,1101,26769,15354,2378,15170,29331,44501
Buckhead,SWAtlanta,2396,478,788,964,1816,334,3360,2294,1122,3662,3114,6776
Buckhead,CBDAtlanta,5478,930,2198,2950,3292,941,8428,4222,3139,8606,7183,15789
Buckhead,SEAtlanta,1919,470,553,801,1450,233,2720,1920,786,2942,2484,5426
Buckhead,SFulton,642,105,52,167,344,13,809,449,65,799,524,1323
Buckhead,Tri-Cities,1602,337,495,256,549,115,1858,886,610,2434,920,3354
Buckhead,Shannon,862,214,179,107,277,28,969,491,207,1255,412,1667
Buckhead,WCherokee,74,20,0,12,83,0,86,103,0,94,95,189
Buckhead,NCherokee,22,3,0,9,35,0,31,38,0,25,44,69
Buckhead,ECentCherokee,432,73,5,85,222,0,517,295,5,510,307,817
Buckhead,Woodstock,787,156,17,135,387,3,922,543,20,960,525,1485
Buckhead,Airport,619,116,363,46,91,13,665,207,376,1098,150,1248
Buckhead,NEClayton,1044,283,104,181,640,27,1225,923,131,1431,848,2279
Buckhead,Riverdale,748,217,144,86,249,20,834,466,164,1109,355,1464
Buckhead,SClayton,528,167,38,88,210,7,616,377,45,733,305,1038
Buckhead,NWCobb,1834,329,30,353,739,20,2187,1068,50,2193,1112,3305
