STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,PM,1397,416
Vine City,RAIL,33.75655043,-84.40401403,PM,666,477
Ashby,RAIL,33.75644578,-84.41724351,PM,724,808
West Lake,RAIL,33.75329302,-84.44534298,PM,268,527
Hamilton E Holm,RAIL,33.75447364,-84.47012807,PM,1086,3930
Bankhead,RAIL,33.77218678,-84.42893117,PM,452,757
Peachtree Cente,RAIL,33.75967751,-84.38756755,PM,5763,1473
Civic Center,RAIL,33.76648821,-84.38749686,PM,2123,1294
Midtown,RAIL,33.78111994,-84.38633916,PM,4738,2595
Arts Center,RAIL,33.78918261,-84.38732614,PM,5290,2417
Lindbergh Cente,RAIL,33.8224931,-84.36959926,PM,4603,6899
Lenox,RAIL,33.84538918,-84.35809298,PM,1857,881
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,PM,477,1184
Chamblee,RAIL,33.88746349,-84.30635678,PM,1098,1394
Buckhead,RAIL,33.84806247,-84.36785871,PM,2423,1034
Medical Center,RAIL,33.91076675,-84.35150425,PM,1819,604
Dunwoody,RAIL,33.92129246,-84.34435935,PM,2256,1937
Garnett,RAIL,33.74883024,-84.39563408,PM,1723,489
West End,RAIL,33.73581105,-84.41366372,PM,1581,3603
Oakland City,RAIL,33.71704952,-84.42512464,PM,756,2212
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,PM,443,1271
East Point,RAIL,33.67685698,-84.44074954,PM,1438,3726
College Park,RAIL,33.65153306,-84.44877472,PM,1279,6490
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,PM,8,6
Peachtree Cente,RAIL,33.75788041,-84.38759022,PM,7,4
Carnegie/Spring,RAIL,33.75925987,-84.38944947,PM,7,1
Woodruff Park S,RAIL,33.75630023,-84.38845983,PM,1,1
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,PM,5,2
Centennial Olym,RAIL,33.75923989,-84.3920903,PM,11,6
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,PM,1,3
King Memorial,RAIL,33.75000421,-84.37543041,PM,450,833
Airport,RAIL,33.64068199,-84.44620591,PM,4085,530
North Avenue,RAIL,33.77256732,-84.38699937,PM,4053,1653
Doraville,RAIL,33.90298663,-84.28025261,PM,737,4352
Five Points (Gold),RAIL,33.75386763,-84.39159681,PM,14996,14588
Five Points (Blue),RAIL,33.75387048,-84.3915608,PM,15412,8176
Hurt Park Stree,RAIL,33.75447459,-84.3852735,PM,4,6
Park Place Stre,RAIL,33.75506728,-84.38820241,PM,4,5
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,PM,1,2
King Historical,RAIL,33.75548968,-84.37435941,EV,0,0
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,EV,2,12
Sandy Springs,RAIL,33.93218729,-84.35208977,EV,234,78
North Springs,RAIL,33.94511896,-84.35726606,EV,294,618
Georgia State,RAIL,33.75008031,-84.38582967,EV,611,135
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,EV,182,329
Edgewood/Candle,RAIL,33.76193601,-84.33963921,EV,66,173
East Lake,RAIL,33.76519723,-84.31276946,EV,60,292
Decatur,RAIL,33.77468883,-84.29574279,EV,295,363
Avondale,RAIL,33.77514262,-84.28227057,EV,220,488
Kensington,RAIL,33.77265675,-84.25189439,EV,314,834
Indian Creek,RAIL,33.76982934,-84.22965543,EV,132,810
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,EV,278,60
Vine City,RAIL,33.75655043,-84.40401403,EV,142,155.01
Ashby,RAIL,33.75644578,-84.41724351,EV,325,397.99
West Lake,RAIL,33.75329302,-84.44534298,EV,55,204
Hamilton E Holm,RAIL,33.75447364,-84.47012807,EV,277,839
Bankhead,RAIL,33.77218678,-84.42893117,EV,42,164
Peachtree Cente,RAIL,33.75967751,-84.38756755,EV,1377,422
Civic Center,RAIL,33.76648821,-84.38749686,EV,532,281
Midtown,RAIL,33.78111994,-84.38633916,EV,818,647
Arts Center,RAIL,33.78918261,-84.38732614,EV,1242.01,610
Lindbergh Cente,RAIL,33.8224931,-84.36959926,EV,2628,3125
Lenox,RAIL,33.84538918,-84.35809298,EV,495,274
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,EV,131,352
Chamblee,RAIL,33.88746349,-84.30635678,EV,213,389
Buckhead,RAIL,33.84806247,-84.36785871,EV,434,193
Medical Center,RAIL,33.91076675,-84.35150425,EV,331,78
Dunwoody,RAIL,33.92129246,-84.34435935,EV,393,217
Garnett,RAIL,33.74883024,-84.39563408,EV,310,122
West End,RAIL,33.73581105,-84.41366372,EV,345,726
Oakland City,RAIL,33.71704952,-84.42512464,EV,177,707
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,EV,92,320
East Point,RAIL,33.67685698,-84.44074954,EV,216,592
College Park,RAIL,33.65153306,-84.44877472,EV,329,1217
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,EV,0,1
Peachtree Cente,RAIL,33.75788041,-84.38759022,EV,2,2
Carnegie/Spring,RAIL,33.75925987,-84.38944947,EV,3,1
Woodruff Park S,RAIL,33.75630023,-84.38845983,EV,0,0
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,EV,1,0
Centennial Olym,RAIL,33.75923989,-84.3920903,EV,3,0
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,EV,3,0
King Memorial,RAIL,33.75000421,-84.37543041,EV,98,189
Airport,RAIL,33.64068199,-84.44620591,EV,642,88
North Avenue,RAIL,33.77256732,-84.38699937,EV,1007.01,495
