FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
Airport,CBDAtlanta,987,190,753,326,564,189,1313,754,942,1930,1079,3009
Airport,SEAtlanta,1781,368,462,1291,1516,104,3072,1884,566,2611,2911,5522
Airport,SFulton,898,122,39,396,630,17,1294,752,56,1059,1043,2102
Airport,Tri-Cities,4041,751,422,5894,7017,268,9935,7768,690,5214,13179,18393
Airport,Shannon,3329,514,158,2595,5237,96,5924,5751,254,4001,7928,11929
Airport,WCherokee,6,0,0,2,0,0,8,0,0,6,2,8
Airport,NCherokee,0,0,0,1,0,0,1,0,0,0,1,1
Airport,ECentCherokee,29,6,1,7,27,0,36,33,1,36,34,70
Airport,Woodstock,64,9,3,11,12,0,75,21,3,76,23,99
Airport,Airport,5140,847,62,9092,8733,131,14232,9580,193,6049,17956,24005
Airport,NEClayton,3512,638,100,3058,4371,52,6570,5009,152,4250,7481,11731
Airport,Riverdale,3677,658,133,3589,7013,78,7266,7671,211,4468,10680,15148
Airport,SClayton,1568,280,39,528,887,6,2096,1167,45,1887,1421,3308
Airport,NWCobb,153,33,18,13,30,0,166,63,18,204,43,247
Airport,NECobb,155,30,33,9,20,0,164,50,33,218,29,247
Airport,SWCobb,156,19,16,15,4,0,171,23,16,191,19,210
Airport,Marietta,141,20,24,13,15,3,154,35,27,185,31,216
Airport,Cumberland,560,75,91,49,86,8,609,161,99,726,143,869
Airport,SCobb,606,82,101,66,69,4,672,151,105,789,139,928
Airport,Chamblee,326,76,310,33,104,12,359,180,322,712,149,861
Airport,NWDeKalb,425,73,252,60,102,18,485,175,270,750,180,930
Airport,NEDeKalb,580,106,184,41,90,4,621,196,188,870,135,1005
Airport,Atlanta-DeKalb,335,48,160,70,116,9,405,164,169,543,195,738
Airport,Decatur,181,21,124,16,30,4,197,51,128,326,50,376
Airport,SWDeKalb,949,149,331,122,248,17,1071,397,348,1429,387,1816
Airport,SEDeKalb,790,125,233,39,123,4,829,248,237,1148,166,1314
Airport,SDeKalb,1193,212,145,288,445,12,1481,657,157,1550,745,2295
Airport,WDouglas,270,32,13,34,71,1,304,103,14,315,106,421
Airport,EDouglas,420,61,51,48,137,1,468,198,52,532,186,718
Airport,WFayette,453,86,14,117,293,0,570,379,14,553,410,963
Airport,EFayette,971,144,19,395,894,0,1366,1038,19,1134,1289,2423
Airport,NGwinnett,54,18,8,7,19,0,61,37,8,80,26,106
